CustomerID,CustomerName,ContactInfo,PaymentMode
12585,Aarushi,309.507.9834,COD
12586,Aastha,309.507.9835,Credit Card
12587,Aayush,309.507.9833,Debit Card
12589,Aayushi,457.507.9833,COD
13047,Abhijeet,458.507.9833,Credit Card
12590,Abhijit,459.507.9833,COD
13077,Abhishek,444.507.9833,COD
12591,Adhvaita,890.507.9833,Credit Card
13021,Aditi,899.507.9833,Credit Card
13022,Aditya,204.507.9833,COD
13024,Aishwarya,205.507.9833,Debit Card
12592,Ajay,209.507.9833,COD
13025,Akancha,206.507.9833,COD
13026,Akash,434.507.9833,COD
13027,Akshata,309.507.4344,COD
12593,Akshay,309.507.4341,UPI
12594,Aman,309.507.9833,UPI
13028,Ameesha,438.507.9833,EMI
13029,Amisha,421.507.9833,COD
13030,Amit,422.507.9833,COD
13031,Amlan,423.507.9833,Debit Card
13032,Amol,426.507.9833,EMI
12595,Amruta,496.507.9833,Debit Card
13033,Anand,487.507.9833,Credit Card
13038,Anchal,630.507.9833,COD
13035,Aniket,639.507.9833,COD
13037,Anisha,640.507.9833,COD
12596,Anita,641.507.9833,Debit Card
13040,Anjali,644.507.9833,COD
13041,Ankit,647.507.9833,UPI
13020,Ankita,651.507.9833,COD
12597,Ankur,309.651.9833,COD
13088,Anubhaw,309.651.9833,UPI
13089,Anudeep,345.651.9833,UPI
12598,Anurag,345.651.9833,COD
13011,Aparajita,345.651.9833,EMI
14041,Apoorv,345.651.9833,Credit Card
14045,Apsingekar,345.651.9833,COD
14048,Arindam,345.657.9833,UPI
14049,Aromal,345.657.9833,COD
12599,Arsheen,345.657.9833,Debit Card
12600,Arun,345.108.9833,Credit Card
14050,Aryan,345.108.9833,COD
12601,Ashmeet,958.108.9833,UPI
12602,Ashmi,958.108.9833,UPI
14051,Ashvini,958.108.9833,Credit Card
14052,Ashwin,958.108.9833,UPI
12603,Asish,958.785.9833,COD
12604,Atharv,958.785.9833,COD
14053,Atul,603.785.9833,COD
14054,Avish,603.785.9833,UPI
12605,Ayush,603.785.9833,COD
14055,Bathina,603.785.9833,Debit Card
12606,Bhaggyasree,603.507.1077,COD
14056,Bharat,603.507.1077,UPI
14057,Bhargav,603.507.1077,UPI
