EMPLOYEE_ID,FIRST_NAME,LAST_NAME,ROLE,PHONE_NUMBER,HIRE_DATE,SALARY
198,Donald,OConnell,SH_CLERK,650.507.9833,21-Jun-07,2600
199,Douglas,Grant,SH_CLERK,650.507.9844,13-Jan-08,2600
200,Jennifer,Whalen,AD_ASST,515.123.4444,17-Sep-03,4400
201,Michael,Hartstein,MK_MAN,515.123.5555,17-Feb-04,13000
202,Pat,Fay,MK_REP,603.123.6666,17-Aug-05,6000
203,Susan,Mavris,HR_REP,515.123.7777,07-Jun-02,6500
204,Hermann,Baer,PR_REP,515.123.8888,07-Jun-02,10000
205,Shelley,Higgins,AC_MGR,515.123.8080,07-Jun-02,12008
206,William,Gietz,AC_ACCOUNT,515.123.8181,07-Jun-02,8300
100,Steven,King,AD_PRES,515.123.4567,17-Jun-03,24000
101,Neena,Kochhar,AD_VP,515.123.4568,21-Sep-05,17000
102,Lex,De Haan,AD_VP,515.123.4569,13-Jan-01,17000
103,Alexander,Hunold,IT_PROG,590.423.4567,03-Jan-06,9000
104,Bruce,Ernst,IT_PROG,590.423.4568,21-May-07,6000
105,David,Austin,IT_PROG,590.423.4569,25-Jun-05,4800
106,Valli,Pataballa,IT_PROG,590.423.4560,05-Feb-06,4800
107,Diana,Lorentz,IT_PROG,590.423.5567,07-Feb-07,4200
108,Nancy,Greenberg,FI_MGR,515.124.4569,17-Aug-02,12008
109,Daniel,Faviet,FI_ACCOUNT,515.124.4169,16-Aug-02,9000
110,John,Chen,FI_ACCOUNT,515.124.4269,28-Sep-05,8200
111,Ismael,Sciarra,FI_ACCOUNT,515.124.4369,30-Sep-05,7700
112,Jose Manuel,Urman,FI_ACCOUNT,515.124.4469,07-Mar-06,7800
113,Luis,Popp,FI_ACCOUNT,515.124.4567,07-Dec-07,6900
114,Den,Raphaely,PU_MAN,515.127.4561,07-Dec-02,11000
115,Alexander,Khoo,PU_CLERK,515.127.4562,18-May-03,3100
116,Shelli,Baida,PU_CLERK,515.127.4563,24-Dec-05,2900
117,Sigal,Tobias,PU_CLERK,515.127.4564,24-Jul-05,2800
118,Guy,Himuro,PU_CLERK,515.127.4565,15-Nov-06,2600
119,Karen,Colmenares,PU_CLERK,515.127.4566,10-Aug-07,2500
120,Matthew,Weiss,ST_MAN,650.123.1234,18-Jul-04,8000
121,Adam,Fripp,ST_MAN,650.123.2234,10-Apr-05,8200
122,Payam,Kaufling,ST_MAN,650.123.3234,01-May-03,7900
123,Shanta,Vollman,ST_MAN,650.123.4234,10-Oct-05,6500
124,Kevin,Mourgos,ST_MAN,650.123.5234,16-Nov-07,5800
125,Julia,Nayer,ST_CLERK,650.124.1214,16-Jul-05,3200
126,Irene,Mikkilineni,ST_CLERK,650.124.1224,28-Sep-06,2700
127,James,Landry,ST_CLERK,650.124.1334,14-Jan-07,2400
128,Steven,Markle,ST_CLERK,650.124.1434,08-Mar-08,2200
129,Laura,Bissot,ST_CLERK,650.124.5234,20-Aug-05,3300
130,Mozhe,Atkinson,ST_CLERK,650.124.6234,30-Oct-05,2800
131,James,Marlow,ST_CLERK,650.124.7234,16-Feb-05,2500
132,TJ,Olson,ST_CLERK,650.124.8234,10-Apr-07,2100
133,Jason,Mallin,ST_CLERK,650.127.1934,14-Jun-04,3300
134,Michael,Rogers,ST_CLERK,650.127.1834,26-Aug-06,2900
135,Ki,Gee,ST_CLERK,650.127.1734,12-Dec-07,2400
136,Hazel,Philtanker,ST_CLERK,650.127.1634,06-Feb-08,2200
137,Renske,Ladwig,ST_CLERK,650.121.1234,14-Jul-03,3600
138,Stephen,Stiles,ST_CLERK,650.121.2034,26-Oct-05,3200
139,John,Seo,ST_CLERK,650.121.2019,12-Feb-06,2700
140,Joshua,Patel,ST_CLERK,650.121.1834,06-Apr-06,2500
